id,year,short_code
stock_production_lot_year_1,2016,16
stock_production_lot_year_2,2017,17
stock_production_lot_year_3,2018,18
stock_production_lot_year_4,2019,19
stock_production_lot_year_5,2020,20
stock_production_lot_year_6,2021,21
stock_production_lot_year_7,2022,22
stock_production_lot_year_8,2023,23
stock_production_lot_year_9,2024,24
stock_production_lot_year_10,2025,25
stock_production_lot_year_11,2026,26
stock_production_lot_year_12,2027,27
stock_production_lot_year_13,2028,28
stock_production_lot_year_13,2029,29
stock_production_lot_year_13,2030,30
stock_production_lot_year_13,2031,31
stock_production_lot_year_13,2032,32
stock_production_lot_year_13,2033,33
